Number,Style,Category,OGMin,OGMax,FGMin, FGMax,ABVMin,ABVMax,IBUMin, IBUMax,SRMMin, SRMMax
17D,Straight (Unblended) Lambic,Sour Ale,1.04,1.054,1.001,1.01,5,6.5,0,10,3,7
17E,Gueuze,Sour Ale,1.04,1.06,1,1.006,5,8,0,10,3,7
17F,Fruit Lambic,Sour Ale,1.04,1.06,1,1.01,5,7,0,10,3,7
18A,Belgian Blond Ale,Belgian Strong Ale,1.062,1.075,1.008,1.018,6,7.5,15,30,4,7
18B,Belgian Dubbel,Belgian Strong Ale,1.062,1.075,1.008,1.018,6,7.6,15,25,10,17
18C,Belgian Tripel,Belgian Strong Ale,1.075,1.085,1.008,1.014,7.5,9.5,20,40,4.5,7
18D,Belgian Golden Strong Ale,Belgian Strong Ale,1.07,1.095,1.005,1.016,7.5,10.5,22,35,3,6
18E,Belgian Dark Strong Ale,Belgian Strong Ale,1.075,1.011,1.01,1.024,8,11,20,35,12,22
19A,Old Ale,Strong Ale,1.06,1.09,1.015,1.022,6,9,30,60,10,22
19B,English Barleywine,Strong Ale,1.08,1.012,1.018,1.03,8,12,35,70,8,22
19C,American Barleywine,Strong Ale,1.08,1.012,1.016,1.03,8,12,50,120,10,19
20A,Fruit Beer,Fruit Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
21A,Spice  Herb or Vegetable Beer,Spice Herb Vegetable Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
21B,Christmas/Winter Specialty Spiced Beer,Spice Herb Vegetable Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
22A,Classic Rauchbier,Smoke & Wood-Aged Beer,1.05,1.057,1.012,1.016,4.8,6,20,30,12,22
22B,Other Smoked Beer,Smoke & Wood-Aged Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
22C,Wood,Aged Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
23,Specialty Beer,Speciality Beer,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
24A,Dry Mead,Traditional Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
24B,Semi,Sweet Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
24C,Sweet Mead,Traditional Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
25A,Cyser (Apple Melomel),Melomel (Fruit Mead),Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
25B,Pyment (Grape Melomel),Melomel (Fruit Mead),Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
25C,Other Fruit Melomel,Melomel (Fruit Mead),Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
26A,Metheglin,Other Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
26B,Braggot,Other Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
26C,Open Category Mead,Other Mead,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable
27A,Common Cider,Standard Cider and Perry,1.045,1.065,1,1.02,5,8,N/A,N/A,N/A,N/A
27B,English Cider,Standard Cider and Perry,1.05,1.075,0.995,1.01,6,9,N/A,N/A,N/A,N/A
27C,French Cider,Standard Cider and Perry,1.05,1.065,1.01,1.02,3,6,N/A,N/A,N/A,N/A
27D,Common Perry,Standard Cider and Perry,1.05,1.06,1,1.02,5,7,N/A,N/A,N/A,N/A
27E,Traditional Perry,Standard Cider and Perry,1.05,1.07,1,1.02,5,9,N/A,N/A,N/A,N/A
28A,New England Cider,Speciality Cider and Perry,1.06,1.01,0.995,1.01,7,13,N/A,N/A,N/A,N/A
28B,Fruit Cider,Speciality Cider and Perry,1.045,1.07,0.995,1.01,5,9,N/A,N/A,N/A,N/A
28C,Apple Wine,Speciality Cider and Perry,1.07,1.01,0.995,1.01,9,12,N/A,N/A,N/A,N/A
28D,Other Specialty Cider or Perry,Speciality Cider and Perry,1.045,1.01,0.995,1.01,5,12,N/A,N/A,N/A,N/A
